Program Title,Cover,🆕 Category,Primary Area,👧🏼 Kids,Release,Status,Lessons,Hours,Pricing,Prod Abbreviation,Priority,Product Type,Languages,Author,Brands,Outcomes,Areas of Growth,Airlines,Length,Modified,Transcript
Healing Burnout,0bf9e3bc-9715-4ba0-866e-115ad9217356.jpg (https://v5.airtableusercontent.com/v3/u/50/50/1770868800000/RhUGrwxUSNl2MZOA6k4ctg/3hH42kGsGFvOME_3QZfpvRSvsLJYDRiyKMee6R4lMmFTIn5thmYy1I2_F2W_Jsdu2jKDm5sKQNaHooiGsHpqUO--25Dfnkm4Hc51jwRx6KFlXrIjIAgyHddmOTMthJGSPhBlvX84SRkWqvDbrqZsLC8YRFjo6K5hdhespjPeaxdFMKVWU0n9bn7tgv785V19/YJXSNcCrqVu4QQef1q_69NNW_VwCTqGmBjcNtOixGhE),Mind,Emotional Mastery,,15 September 2025,Published,8,1.5,$99,HBO,,Quest,🇬🇧 English,Dr. Romie Mushtaq,Membership,"Overcoming Fears & Anxiety,Overcoming Distractions (Being Indistractible),Managing Chronic Stress,Improved Brain Performance,Healing Burnout","Focus,Wellness,Abundance Mindset",,1 Week,6/2/2026 11:29pm,Healing Burnout with Dr Romie Mushtaq Quest Transcripts.txt (https://v5.airtableusercontent.com/v3/u/50/50/1770868800000/hDwnom58lB3kO8Vw2CY-XA/_IRdJz30Cb1MRZr-pvI-zi6_FLw_AkJbRyJSVfR-8cReosHQ-h2uyd3Amf4S0HMwLRncT3ef7z7FVIHPuLpFPJNRmke3jEUyL3UQ7FxoMfuaX7eHGo0li-X6vUjJ-_bCqirSUPqJ8dId36xx_3aop4ZI1bwCcotGOAzpgzHvDoQKxP2lF4Kdf_QoaEud7CogRo8GzIFfN-Zwqj4Ib2YvEw/GyBbNLrY-kYl4ROJDCC9JHt5aG2yeVA6uxNH3Wjx9pI)
Evolutionary Woman,EW-QuestCover-1920x1080-EN.jpg (https://v5.airtableusercontent.com/v3/u/50/50/1770868800000/Ij6JErpVI-ZSLDEXhcsKNA/k8Qd_ZyMQ6ndmR0ZSAd-_4bBYImToHUhe3izkIvrRMBgAtdSmhDszarc7TMSF-5tnooheKNd7eX1_27h4rtYifeR8_SUjOl5hnWZhPXPZew_d429afwNaNRWOVh0B7d61ZlA3tK0VtV5Cfa_Qk3R_1dwwDQOWWvKtDyrCnW5rjg/1vr3U6yad8494-hVU1R6Dfz7Jur9inbz5_zd8jof9cU),Mind,Confidence,,12 December 2017,Published,10,2.0,$99,EW,,Quest,🇬🇧 English,Barbara Marx Hubbard,Membership,"Finding Your Purpose,Finding Your Passion,Making a Bigger Impact","Impact,Vision",,2 Weeks,11/2/2026 10:47pm,Evolutionary Woman with Barbara Marx Hubbard Quest Transcripts.txt (https://v5.airtableusercontent.com/v3/u/50/50/1770868800000/ynH21mX5dLnJUC6-_7rKVw/kEggFXdxrfAhM97xksi068Jnmls6uq62bytE77dlEpCaz5-XZ0qh3PeQJTvpXN8MS6c8Yz43nEJD9aV5Q7d1o667-xkP07pfqPTnowUTXJGM2ec_InTiflcv2sSIjOhHEuemfzh849VCv0CFzx4e-LLGQNrVB-ZkdCZbklZym9BryelmohCczyRclW8her8BFfZWiFaOfERPys77nl6fNCUSogbu4lIq9GXMVBLwz6c/e-oLGObtwyQckPNo97lSi7vXJmg0c4ITdMjZmPjALqk)
Be Extraordinary for Teens,Screenshot 2020-04-16 at 11_32_20 PM.png (https://v5.airtableusercontent.com/v3/u/50/50/1770868800000/o6JL46Qsq1WIq0BEomWXTA/rtjW_FWbwu5CE13HnzlPe4KNVZRwbp65b7Ll7XXhVvSvQhpXVEeJDhDRl5sH5CMUDg68rWtT_sW32tmkKyP-m7TXe_616kglmFql68boBVa5R-fBz9lZfQvDhg91_3hS28nb9KOuYSBGSLRFFQPG_k2DhD5A2X79Ia-FaMMC9-0/zcZfn6NLyxq4wxYkVe5EDu0nBSVGNdw1Y8ChfDHy5Ls),Mind,Self-Mastery,checked,4 May 2020,Published,10,2.7,$99,BE4T,4,Quest,🇬🇧 English,"Vishen Lakhiani,Gahmya Drummond-Bey",Teens,"Advanced Level Meditation,Becoming More Authentic","Peace of Mind,Strengthening  Relationships",,2 Weeks,5/2/2026 1:29pm,Be Extraordinary for Teens with Vishen Lakhiani Quest Transcripts.txt (https://v5.airtableusercontent.com/v3/u/50/50/1770868800000/2zK2ecKm06JgVVc5e5mbrw/JS6tTt6nAIi4QhlemBgYwsXGkaA7pLOeVAxHkV2BgeMwhBUJ_9sQnhH_Vmv01cZr8Jq5yqpvN_y2EtqdgTw-v4-Se6cMW_oekheUd475uKrax-CTB6AkRi9lqsmw9fVK8gxznwq2qr_Zq-P8tZ41FY5U6gKa7n2rguGV1V_L7aey-HdOFUtdWWDPOrEsMbeYMIs4XTRV_Y_FAumdQ_4rPCT-XUOAdCaUffZcLWI9yjI/PWB6AI7KDbF_BH9lP62zlo1UYAErsnQMRdeWVl7Rud4)
Creative Visualization,image (12).png (https://v5.airtableusercontent.com/v3/u/50/50/1770868800000/U9KYn0W0KRbbZWPXOV3z3w/2iyAVvUfE7TdJuuRU7-M01WiK7wPkuaaVozkGfuRG4iH9UFRxg3-1kw7e-tei0QJuk6Rv5nJ1gvlp0jSlLcAuF7qWxNrjPWSFV9Dzc_HrEWP6m1HDE9L-gwd1_kP0QO5AlwPd9B8M1Wvhq-5FrNBpg/HGFCZaMZPhv3XCl5begvj4s7ALGgSbM78gzgibFYA7g),Mind,Abundance Mindset,,7 March 2022,Published,12,3.2,$149,CV,,Quest,🇬🇧 English,"Lisa Nichols,Vishen Lakhiani",Membership,"Manifesting Dreams,Better Meditation,Improving Self-Esteem,Alternative Healing,Greater Sense of Abundance,Increasing Happiness ,Developing Greater Positivity,Improving Love Relationships","Peace of Mind,Manifesting,Self-Love,Happiness,Abundance Mindset,Strengthening  Relationships,Confidence",,2 Weeks,6/2/2026 12:57am,Creative Visualization with Lisa Nichols Quest Transcripts.txt (https://v5.airtableusercontent.com/v3/u/50/50/1770868800000/TVJYd2nacZCXZPVHvIVRjg/-jRLLoWVCmZHjFonuPuXIFPD-W2XTPAAAT2Jy8DKrlMiL0WUaQ32DB3_iPi36owmDoYCnyWsPULKLtjla4_avsJQLGjEeQx3k_W6Unt3-ZSb7X3ibKjzYRtGAvCkVlHfEu-Wq7Z36cpsiFRKsNjYIzyR2kbZolDL3kNbEy45JtEcDxpQ_AMBlPd52XOJPTHUq_o8vcFBhhToUTConWRqfg/RHBYVahRS1xcaYaFNEKvUo0otlNHJ_nnpNbvU4bFsJE)
Total Self-Confidence,Total-Self-Confidence_QuestCover_1920x1080_EN.jpg (https://v5.airtableusercontent.com/v3/u/50/50/1770868800000/_5KU1SOFGC9W_8rXnwImbA/DUay2s3sCwp4gx4_cMFajqn97R1remKyyAcL3McDG5ggeERW7K5i8iLoAaYcoza22B5L8Qj3bCf1whdJGeiXR7ekMdazhUqEfivLbP4h34PQyqzAAfPLX7a3AZAVoHOmH9-NwctnD_MzHM_FrFuanaN-jvceMCiOxSxd_eM3Lxu9njdcB3FLZbZo-Xj6n6wi/RZRD09H02xbQu5ppSPX2DT-fhaiEHHcrUjSpUpjAg4k),Mind,Confidence,,21 April 2022,Published,15,4.0,$199,TSCD,5,Quest,🇬🇧 English,Paul McKenna,Membership,"Greater Confidence,Overcoming Fears & Anxiety,Improving Self-Esteem,Achieving Goals,Courage,Mastering Your Emotions,Success Mindset,Developing Greater Positivity","Emotional Mastery,Vision,Confidence",,2 Weeks,11/2/2026 10:32pm,Total Self-Confidence with Paul McKenna Quest Transcripts.txt (https://v5.airtableusercontent.com/v3/u/50/50/1770868800000/4aekx7rlaL707HUcY6Lx1A/zubOS11j3AwANgk6mWQYBOwWz3ozkJLwwIOqPvGDiB1gshTnQTLRvOc7LpivlUxyFS44oRP8_Cw9JvcCOnSZrMtNFhWJxlY79ZVuKNSqhGuJ-MMKgS74Zz_gaKhkFZK0K-QGEyNogYZ5Hs2EOIv1niC1_6s1V7ZVNO25y5JQ4BkFnKoa8K3uw2y0gZExJAPUAwSF589uGVL0sLJO8htubQ/5Pf3qp-j9FavEOC2T-ouSehJndBjZlt3SzlpFdOv50o)
The 5 Elements of Happiness,Slide 5.jpg (https://v5.airtableusercontent.com/v3/u/50/50/1770868800000/P_XPWJXaQYSFwVEj3toIkg/xhUd1Nrsl9t9nlLouYOtjLvO5p-Ra89aRiCBhw47z50btf5OM_iZHCT3-vE0a6SyDR5CZVjasuAdvW7xoWfQWnwaxojIe-c3o1i-zvORkd024gUJtxqdKHRLiB27nlyrJgo0qri3LxAQRn-HoN_lVw/ut8l_jnFphbKSg4HdH8zeJdyZcyActpA4tkv7SqHEXw),Mind,Happiness,,13 April 2023,Published,13,4.1,$149,5EH,4,Quest,🇬🇧 English,Dr. Tal Ben-Shahar,Membership,"Increasing Happiness ,Improving Wellbeing,Living a Purposeful Life,Developing Greater Positivity,Better Habits,Fulfillment,Improving Quality of Life,Emotional Connection with Others","Purpose & Meaning,Social Life & Friendships,Emotional Mastery,Habits & Discipline,Happiness,Abundance Mindset,Quality of Life",,2 Weeks,11/2/2026 10:24pm,The 5 Elements of Happiness with Tal Ben-Shahar Quest Transcripts.txt (https://v5.airtableusercontent.com/v3/u/50/50/1770868800000/Ve1FoF530t3Duk4L4Hed_g/HSV9CXmcUjwjmfM0A3zIA9eQjhFrycqjpSsnIAtvAOGH6rMs6RsL4cjfzqErgiU_g6w9xJ9Zy-jxwJGxI2_2oliQolxpBocuOSp6xUWOQdp7peINkJMQTPhTA2cfbnaC-YMFLYmriUyxgfecNgbORU-TtYIlmHq8v88uoA4iL7F9i8gDpeieJuJTct36BAoKIcOM7qcTzf9V9NmnuHW1r9hlk94DCd-Q1zwfNymNkQM/zqSkZmOJgDRL6KVMqgzcqntXPXualPiU6HZuAxrLYAY)
10 Questions for Self-Love,QOSL_1920X1080_EN_Opt2.jpg (https://v5.airtableusercontent.com/v3/u/50/50/1770868800000/Q4sQ6003k6Hp6OfoZEyx2g/eqeU9yxCynI8sjpaaaCD5P_FH4ipTyPFqrwjq40w1CENjNS7a9rGyULEsLdg0ld45hGdlerT5G8SVJA9MryRHEpwLl5KmHEPLXzfobOKGLgYdnu86Mz8AN-3AugbwvzGWG9NMDyNgS-_Hw54vF7Y2ulWA3WOOf5rKAwVf7mxmms/_HQbVRd8MhRk3qnzJmT5XMoGD9k95cclCOqJ9QxFJqY),Mind,Self-Love,,3 February 2023,Published,10,1.0,$99,QSF,4,Quest,🇬🇧 English,Kristina Mand-Lakhiani,Membership,"Awareness of Your Shadows,Greater Emotional Balance,Greater Self-Love,Improved Awareness & Sensing,Mastering Your Emotions,Removing Fear of Failure,Upgrading Beliefs","Emotional Mastery,Intuition,Self-Love,Abundance Mindset",,2 Weeks,5/2/2026 12:15am,10 Questions for Slef-Love with Kirstina .txt (https://v5.airtableusercontent.com/v3/u/50/50/1770868800000/tsnRY8UCAKm4G0mBuCwJ1w/LFN1bw9EpLp2rDK-vXJ68s6q-GSPps0fS7OABMLqOEbEp_a7YE0Y67fEZAXoYriNsYAtIvXMUhd_N2-onEEPaM0rv4GYrppyAD0DZsOsq10u5oK3qecs0SdKqRrXqTD5jI2O-XoYSduX91YUkKpE7eDn1qZG4CwUXhWD3-Hr5UdQ5t3q_I6i8orbAcpAvbOt/vyluLNRPsx9SBue37LRB_oV3WvQoxnte4AFxm4io2fA)
The Champion Mindset,TCM_QuestCover_1920x1080_EN.jpg (https://v5.airtableusercontent.com/v3/u/50/50/1770868800000/kDsreishUjSHf2jHPu5WDQ/iJhwwcIqTflRqiLS_N8nm1VTEB0teTVVANUiZeym6sef97d5_A6AohOKcPfTt6iIuX94OB020sWPXAco721xhceFBvgl6dyPmjvIMs3HDj2DY9FNm6tUXpjvy6wC4oNaioDg-uzBWVtBkXG5_YO5ldoJQbUZMttzEgcSvFkmT3o/KBcG2IoEPHvV8FQQf9lyLQGjOxRa-kYEZdNqH2v08Xw),Mind,Habits & Discipline,,20 January 2024,Published,14,2.5,$199,TCM,3,Quest,🇬🇧 English,Florencia Andrés,Membership,"Success Mindset,Developing Self-Confidence,Greater Motivation,Overcoming Procrastination,Improving Self-Esteem,Developing Initiative,Better Goal Setting,Increasing Productivity","Focus,Creativity,Vision,Productivity,Abundance Mindset,Confidence",,2 Weeks,11/2/2026 10:18pm,The Champion Mindset with Florencia Andres Quest Transcripts.txt (https://v5.airtableusercontent.com/v3/u/50/50/1770868800000/U8ngkM1VGH3fUFupX_FZqA/JNNLBhumoWz7lmk1H6B3OgafbxdXZRRYd9-XF_sukZCn5SJEvORffLu6IYsSHEEv_B9wMshCn_pXvwlPUXrlS33IV-yf6ZLz1fWvgF7XqtCPAHsPIu7dpgMZ--lJOMazx6HIMsgDjvYtVNbabSn8nEOw0VAnIrkabYBcgFbTEZw6mEOfJrq2ImOPxyMaFeP5e_mb0NN7VKP1cNrMVIgHbg/YVd_a5sDXXxqaymusCNYUuwCYCw9VV5PvA6XGvc_NVI)
Forgiveness: Find Inner Peace and Restart Your Life,f36b6bc4-c43a-4f46-8166-8ed2ca1eeaa1.jpg (https://v5.airtableusercontent.com/v3/u/50/50/1770868800000/tytpnFFv1EHgZfhVRq1DpQ/Xzd-w3OLbD4PXYc-B5uqKyBuALSgoYwD_z0O56TN6sPJXHnT63DQET4oIMwLGYX8k-tUDkdj1tfvRoepA8UID4g3A6_lcRpRJBWi1Oq3DhWaV9lDWmY7U0Hml7pZCfEJSe7UNKAhkBNv8GsmVn70m3Dq9aWiH1ErAQp7ZUMp9W-CtYHYk6EJtT2QAQPY6IPN/iOSWuMUCI_Aaw-Zylv7VHWbraguwCuRTjRjYqm0ceZE),Mind,Self-Mastery,,2 July 2025,Published,11,3.0,$149,FSS,3,Quest,🇬🇧 English,Marie Diamond,Membership,"Forgiveness,Inner Peace,Improving Compassion,Unconditional Love,Greater Empathy Towards Others,Mature Relationships with All,Mastering Your Emotions,Emotional Connection with Others",Self-Mastery,,2 Weeks,5/2/2026 5:51pm,2. Forgiveness Quest - Marie Diamond.txt (https://v5.airtableusercontent.com/v3/u/50/50/1770868800000/D3bYf9LmddlF4aJifkF3Sw/jvdmiJr0RNPpBIJGXfKoRxcTrFxOM-fLOVfCshHAlRSbG0OwAQQWOBd3knUFiGELHfNwl668BTb3SKxElqhDP2tGhKXHEvfPQWwzQtsy_NGx3KeJI7TAp6IaOI5IuCQgnSgbLgTTmVVZHpWN7aSnYo3HfDFXHwAdZrwY6M5IclsSEXVrp7L8XKdr98dV6ZXg/-kIz7VTJoUnFtHomM0teLnFtGKU1KftIfQbUasOo1CA)
ZivaKids Play,b1e5b33c-adac-44c1-935d-cbeb00d66bef.jpg (https://v5.airtableusercontent.com/v3/u/50/50/1770868800000/NoS3Ru81NoWCQTPgdZrymg/JwrpmdlLupfYWfq2Eb3FQjzC23WOj8XFmF9NA4oYFeljVBLGsjkCpJXdJQcxZ4-43tOi7RWI0JOj0J4RSMPU_-xGVxdbA6be9vkDnyJWdWPKVxNG5sb5ugbKy4li88ugGepCsiCo2YHg_3mmM2p3do78qRwF0leIDy44agi0TQEIaLC1nUBo7Gj8VoovfFis/V-ghCm1LoNrkO3gM8B-6n0pz_sMWOulUVX4gSQYrXBQ),Mind,Self-Mastery,checked,20 October 2025,Published,11,2.5,,ZVKP,3,Quest,🇬🇧 English,Emily Fletcher,Membership,"Advanced Level Meditation,Better Meditation,Deeper Meditation,Helping Kids Learn","Peace of Mind,Parenting",,2 Weeks,4/2/2026 12:56pm,ZivaKIDS PLAY Quest with Emily Fletcher Transcripts.txt (https://v5.airtableusercontent.com/v3/u/50/50/1770868800000/EJArjVqIiGKWvzi7lmCbVA/s_iqFo-6S1h8r6G9y7_ci6nt5AoYpayOvwK5HfKeJEiw-IWI6JsyOR1pC9O6juopnAAmoFpDo0J485HWMDpSCh49QF6HLsJDzhJGnr3gcd0p934Pcgx7mCBesTwZs668OJ7XUO-ftEjrOtZDEP_-w_5xok0RsFPjQANnoUhC_oVGN1vWKJr97PVraJ0mggRZtFUI2OWs1Xtaadtk-KHEAg/bXpcqNlERCrDkF6pG2G3mSZDR6jsQg8wzj9HEfcOsVU)
Everyday Bliss,EB_QuestCover_1920x1080_EN.jpg (https://v5.airtableusercontent.com/v3/u/50/50/1770868800000/_bBtTRz8ycWDF7-TT2Vg4A/sQeFFGIn4EuiZQc3SLvzmaroDoeNAdl8IkfygoV9mMdlZNVVykocBhp1f9LnvbDu-CZAnlgJ0VtVbwz79hxrc4cUMfApqaExn9Xdeh-bDj9viU9LpCZsw4m-kqnf7N-eBhP_D-Elml-f2VsXxG3JfMDQ4frSOdN2X8UKLrgTb-A/6ZZXHzIstZVRAlFxvrsaCBdy4vnLoJp4VlLEVdEfyUo),Mind,Happiness,,28 April 2020,Published,21,3.0,$299,EB,,Quest,"🇬🇧 English,🇪🇸 Spanish,🇫🇷 French,🇩🇪 German,🇮🇹 Italian,🇷🇺 Russian",Paul McKenna,Membership,"Resilience to Stress,Overcoming Fears & Anxiety,Developing Greater Positivity,Better Sleep,Improving Immunity,Help Overcome Depression,Greater Resilience/Grit,Resilience to Overwhelm","Better Sleep,Resilience,Wellness","Emirates,Etihad,Cathay",3 Weeks,11/2/2026 10:41pm,Everyday Bliss with Paul McKenna Quest Transcripts.txt (https://v5.airtableusercontent.com/v3/u/50/50/1770868800000/FdelvIN-UBouY68b_4Mv_Q/Kw_qFjxzR8n9UK6m3IvjrqMje1j8oLBiCe3hm2yzisB_ZeB67R5Y_RtP5YkgBGCIfR52XHVcPwwDdPv_PK428rFAQBuny-yVi3WDGWRvDaXmpU9A_EtQ6yV3mIusd50vOqtIy9qYYHIbCBFhsJoCTaFrTKAUR44DcsIsv2fs5FfDrqz9vl41KfEaj-ey_4ZutEuM8z0AczVKB5pvaxLEdw/XyzCuCXZJAW8gID4l9KKdS1-6wLYG1qJzYI1VmABIkE)
Mystic Brain,MV_Quest_Cover_1920x1080_EN 2.jpg (https://v5.airtableusercontent.com/v3/u/50/50/1770868800000/1o2WLrenl3yk3NdxUzKO6g/1Wbm19R5czV96Dqght3Ys4MQW7QQ316VBPtGvtolOfxlCcqYSIW1NfJvSPR8e30To-b_zPnmoz3MMHASd95E1cPREqYJ81lwayHDrxaqcgqwPaUSsx80aw0v2RAf31GjRMcUCQ24-egHx6bS1_B1lwcUewzAzruXzTjYtvHh22w/oJ7lo2orqXRNZGTLCifIz-cWIobxJVodovD9xFMpBV8),Mind,Peace of Mind,,2 March 2022,Published,22,10.5,$299,MB,3,Quest,🇬🇧 English,Dawson Church,Membership,"Increasing Happiness ,Feelings of Oneness,Inner Peace,Mastering Your Emotions,Being in the Zone/Flow,Resilience to Stress,Improving Immunity,Increasing Productivity","Emotional Mastery,Happiness,Productivity,Oneness,Resilience,Wellness,Quality of Life",,3 Weeks,11/2/2026 10:35pm,Mystic Brain Transcripts with Dawson Church Quest Transcripts.txt (https://v5.airtableusercontent.com/v3/u/50/50/1770868800000/cIms55WkOmrqpbH4tX7J4A/XMXDrWJNfWkssF7vUNwdRB921MZIlJV4LO-ELQG5PcBnjlTqlnxPa1tHh3QK6rcrckK-8S_j3xDNhhV4ENdszd_L2JOgwKC1Pw8EF6eP-FrtjE4NwM9RohoyLFgCOSmXZkanC42WS3Rm_dAlMydkeQtNlmfd5rwgEp6WZjrcvaq4WoWuKDlJFBvd5ocZDNX-5zE2Mc6Yt2vjAWKPdnhbxcYk7Caw_RKw57QTZiFS0P0/Asi8MxseLkEE2LRg4uGhqEotD5PZL06KvFRYyM_HtI4)
The Queen Effect,The Queen Effect quest cover.png (https://v5.airtableusercontent.com/v3/u/50/50/1770868800000/k8oTKcEJaNHOo8E71YNnVg/qQ6E1vDsiMsCtTyFrDvJMHv5hCXXA-_QTp_Q44YybyH7E4mND2QTWR6yBYrYFoRLcnL8uuoKS_Ih2sXIIHAsLP9XIECnMj6izKXEp6CZwkv2hokJIh43nm7jqf3h1h_8Ga1ubLIPdyEIKc1K52DaHDhqqrFy96-al0c5DwfWzcM/dioex7givM0KLelIOT5sexPHj6fIpma7LyGwYuJGwTM),Mind,Confidence,,5 March 2023,Published,21,7.2,$249,TQE,,Quest,🇬🇧 English,Rolene Strauss,Membership,"Greater Confidence,Improving Self-Esteem,Greater Trust in Self and in Life,Achieving Goals,Making a Bigger Impact,Look & Feel Younger,Develop Charisma,Progression in Your Career,Building a Personal Brand,Be More Attractive,Earning Respect,Developing Self-Confidence,Finding a Mentor/Role Model","Leadership,Attractiveness,Social Life & Friendships,Career Growth,Impact,Vision,Abundance Mindset,Strengthening  Relationships,Confidence",,3 Weeks,11/2/2026 10:26pm,The Queen Effect with Rolene Strauss Quest Transcripts.txt (https://v5.airtableusercontent.com/v3/u/50/50/1770868800000/Xu7iSEH7fLv-Gl6ZfQj5hg/LHjtJuVWvRgFKNv6JzrUbA7T9ZMJN95XUQU4e22JNbWCYukoO-7hzfgswcwGvupwl9-d5Hh_eRMbRXKU6lTQ2r-kvCOivG6nMOukK6w8ilbzFKG87l6QD3j-AAZaT4qhkFym2a61hAqTuwos4Pus_TA-WUxwG7bygdiTvPSBFgJASg_8C4YFI0ZIUwp8EcohfgzVcICXZLmgdqLwNuXSSg/maZiaAFpT4_LoN0NBwKQ_e3qspuKhO9R0YwTdcpGIp0)
Magical Living,image.png (https://v5.airtableusercontent.com/v3/u/50/50/1770868800000/zFhLWi-YbYHylG6MRl5BoA/rII7rItq8Kto6DT769wFzay3ufQtOHcDqSBPuA_MPsbDtD68b07f2pTGg36sWpRadOZSF9aent1x1MGa1J20Jn5WyKX4sOSKL9FV8FPxa04CevxpDrGKlSdK14EpK2Cqr5uP4P7ILlQ9bfUYvIl43A/uKQFdbKE3LVf7PkNUkeWzljgOO8nCt7aaRuCrzJpLp0),Mind,Abundance Mindset,,3 April 2023,Published,20,4.8,$299,ML,,Quest,🇬🇧 English,Tim Storey,Membership,"Living a Purposeful Life,Soul Alignment,Manifesting Dreams,Better Growth Mindset,Better Self Awareness,Bouncing Back from Setbacks,Clarity on Life Vision,Self-Acceptance","Purpose & Meaning,Manifesting,Self-Love,Vision,Abundance Mindset,Oneness,Resilience,Spiritual Awakening",,3 Weeks,6/2/2026 11:21pm,Magical Living with Tim Storey Quest Transcripts.txt (https://v5.airtableusercontent.com/v3/u/50/50/1770868800000/VnmcyZFo4q-5YZrt3wn51g/k7_Xz3Sh3x7YFaFgNmTDPdpS_1I1J5gAYSvJOm_00E463ybtRuALQEXRcs_S-hc2Qt0Iaimu3nP4S2nl3oTMKxbSI1IkOrAS-yyc9vz0ViZc1RUqdMxpx4OYg7HrC1YIg38-aIq2itcRKiENXcPa2i6E1ZlDCOz5h2Icz11cHKlmiMcFVFamDitXdL437PRR9za0IlBeHhlIamBbHhEIHg/Yi25RFYtqnhQj3P7qaj3XxUyJbRgP4S1KqSEMeDkeFo)
The Values Factor,7963630c-e917-4a51-9b09-7d939348dc52.jpg (https://v5.airtableusercontent.com/v3/u/50/50/1770868800000/WIaQGy6V3nEbAQ-mtpmdFA/Id7oMP1VKiQbK2JuAXxiBm4DaO9qxKJTd9cvo1HiH2ryHCxJdZpAde1mHD3Sfimjv2h6i1DyaDkPZJdmCMYava9OxTlAxB6yncp_Jlb97VmejuBwSNF1UhL0oWM9LMcvw5PJQUX6U3qVlg7D-xPpmJxJCvMhshXeCC5uROq6PpnEUPvrfl1DvR7KJ3W1bGiY/dyNe1z0-ve7V4xN9gP47fQDc5g1x49myM2q-_MSi45E),Mind,Self-Mastery,,18 August 2025,Published,16,6.0,$199,TVFA,,Quest,🇬🇧 English,Dr. John DeMartini,Membership,"Achieving Goals,Becoming More Authentic,Better Choices & Decision Making,Better Goal Setting,Fulfillment,Finding Your Passion,Finding Your Purpose","Vision,Strengthening  Relationships,Leadership,Quality of Life",,3 Weeks,5/2/2026 10:19pm,The Values Factor.txt (https://v5.airtableusercontent.com/v3/u/50/50/1770868800000/kSM3WpYg3Q9r4Bx_oBoXUg/JrrgqAc6EDGTEzMw8jUHmBXsQio3It7c9H7IqhfH4p2e5-WUUyAnsbZGstTAqEGszfglTZDdiLwDKXKD-LhieBF7xLAGf3wyUIzmRVgWLqbpThd8vl9J02CJqGZ4ia0oggZMmRMjMZTFPIBNSlr4J8MEXz1NlYOLen0QboXTK2o/dENisHg6L6sVQMKEWjM4xZLfxPanxHz8Een8EzRlQYA)
Uncompromised Life,UL_QuestCover_1920x1080_EN.jpg (https://v5.airtableusercontent.com/v3/u/50/50/1770868800000/tdsYacURs6QqblDtFozkpw/D8XcP2-B4nov0LvwPN3k2X8oUHTamCRiVnYe_O9QzTIjRjnTT0M_A5UB-1gmdNnnHBH5gEHLWSKnMxnwRpaLH8qLq43BSc2EOJwjlom76mi2ghgYmQ8bC5_OAoFwQnhoRco5HUTe21PF5ee22oQbCsUflXywPR-TEIyCuANZP2c/1Iuy2rSD64Vekpx7Bzt4qrW07git5JkebisK2QHfaLQ),Mind,Abundance Mindset,,11 September 2019,Published,25,11.0,$299,UL,5,Quest,"🇬🇧 English,🇪🇸 Spanish,🇫🇷 French,🇵🇹 Portuguese,🇩🇪 German,🇷🇺 Russian,🇮🇹 Italian",Marisa Peer,Membership,"Greater Confidence,Greater Self-Love,Finding Your Purpose,Manifesting Dreams,Overcoming Fears & Anxiety,Greater Emotional Balance,Improving Self-Esteem,Better Growth Mindset","Manifesting,Emotional Mastery,Self-Love,Vision,Abundance Mindset,Confidence",,4 Weeks,6/2/2026 11:02pm,Uncompromised Life with Marisa Peer Quest Transcripts.txt (https://v5.airtableusercontent.com/v3/u/50/50/1770868800000/qs8B4Et5jI1MldVKGWve8w/nTC60d10MUD6vgyvmxD2eQMcAY3yBuElULUFZAz3g1E971sSPdDOaHsIkuaQnRnAISY5tQ29537TXAZQsf0yFwQYX9CBLBjMHaIZ1r45OKCZWLUueO4tUccVKwO1K1EEua5BgdlL7VOOGFOVpK-zM4xgXXDg4m-yuDwduqZChkNrKkTvne8eJkcqK_jiXj2pe9CDutLih8mz0r_nnqYk0g/ak2HnXRYETxmOnSoBr0PXLZmat3kOUpJI8wS9W5uOII)
